mturk_id,ip,phrase,dimension,rating_value,time
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a savior is,activity,2,6.0416327
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a mascot is,activity,2,3.2117221
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a composer is,activity,3.1,3.7497473
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a princess is,activity,1,11.056157
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a reporter is,activity,3,3.5430717
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a midwife is,activity,1,4.6887164
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a murderer is,activity,2.9,3.4518392
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a bishop is,activity,0.9,7.3928232
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a prosecutor is,activity,2.9,3.8022015
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a friend is,activity,-1,10.081655
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a foodie is,activity,2,2.9437778
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a mathematician is,activity,1.9,3.2431791
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a bellhop is,activity,1.9,11.5226
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",an acrobat is,activity,3,5.0843086
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",a nanny is,activity,1.9,4.0616217
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being wary is,activity,0.9,8.4715796
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being idealistic is,activity,-1,3.8278389
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being sexy is,activity,2.1,4.0907545
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being charismatic is,activity,1,5.1520605
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being stern is,activity,1.1,5.6430726
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being ugly is,activity,-2.1,6.1458044
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being mellow is,activity,-2.9,12.033413
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being bland is,activity,-1,17.251633
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being unusual is,activity,-1.9,4.4338112
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being sweaty is,activity,-0.9,3.5802834
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being conscientious is,activity,1.1,5.0338588
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",feeling resentful is,activity,1.9,6.0095654
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being vicious is,activity,2.9,3.8590031
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being needy is,activity,1.9,3.6215687
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being girly is,activity,3,3.5039897
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being funny is,activity,2,5.2658534
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being hateful is,activity,3,6.3924279
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being troublesome is,activity,2,3.2975423
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being whimsical is,activity,4.3,3.4138241
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being neurotic is,activity,2,3.3466032
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being homophobic is,activity,2.1,12.685423
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being sleepy is,activity,2.1,.48129344
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being pious is,activity,-1,4.3575883
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being jaded is,activity,-3,14.508197
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being brilliant is,activity,1.9,3.5301578
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",feeling miserable is,activity,1,6.2919102
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being modest is,activity,-1,3.4945397
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being unethical is,activity,2,6.3362832
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being unruly is,activity,2,3.9274111
A2J7L7S9GCPJ8V,"202.133.60.99, 172.16.9.238, 172.16.17.70",being nerdy is,activity,-0.9,3.969933
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being unruly is,potency,1,13.259315
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being capable is,potency,2.8,7.1353655
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being warm is,potency,2,4.1037083
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being scornful is,potency,-1.9,3.3735547
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being accomplished is,potency,3.2,3.1562409
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being unreasonable is,potency,-2.3,2.9950147
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being artistic is,potency,2.4,2.2755699
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being phobic is,potency,-2.1,2.6668403
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being mysterious is,potency,2.4,2.094698
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",feeling miserable is,potency,-1.9,3.4115834
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being bubbly is,potency,2.7,2.121671
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being bossy is,potency,-1.2,2.6555431
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being good is,potency,2,2.4633412
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being scary is,potency,-1.6,2.6472554
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being heartless is,potency,-2.5,2.611212
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being jolly is,potency,1.9,1.9629312
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being unethical is,potency,-2.1,2.1854162
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being uncertain is,potency,-1.5,2.3389108
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being fearless is,potency,-1.2,2.1092484
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being entertaining is,potency,3,2.7941825
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being brave is,potency,2.2,1.8726122
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being idealistic is,potency,1.1,3.6341312
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being nonchalant is,potency,0.5,5.1292024
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being pretentious is,potency,-1.8,3.0559976
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being sinister is,potency,-1.1,2.1789875
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being bouncy is,potency,2,2.3813908
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being effective is,potency,1.1,2.8362632
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being frantic is,potency,-1.7,3.0401707
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being enlightened is,potency,2.4,2.5023429
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being sweaty is,potency,-1.2,2.4337058
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being attentive is,evaluative,2.6,2.1359904
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being brave is,evaluative,2,2.1940579
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",feeling miserable is,evaluative,-2.1,2.5435243
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being goofy is,evaluative,2.8,2.306484
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being stern is,evaluative,-1,4.6747608
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being classy is,evaluative,3,5.6280832
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being bland is,evaluative,-2.5,3.062989
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being jolly is,evaluative,1.5,2.4184759
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being active is,evaluative,3.4,3.0583684
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being practical is,evaluative,3.2,2.199858
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being masculine is,evaluative,-1,3.1320233
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being unreasonable is,evaluative,-1.9,4.1151023
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being arrogant is,evaluative,-2.2,2.8248708
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being stubborn is,evaluative,-1.1,2.5365734
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being neurotic is,evaluative,-3,2.453187
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being heartless is,evaluative,-2.1,2.4440269
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being stuffy is,evaluative,-1.3,2.4116983
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being patriotic is,evaluative,1.6,2.4139445
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being sexy is,evaluative,2.7,2.186646
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being charming is,evaluative,3.1,3.538806
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being abnormal is,evaluative,-1.6,3.147989
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being elitist is,evaluative,-0.7,3.8465924
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being admirable is,evaluative,1.9,2.6460392
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being open is,evaluative,2.7,1.9651194
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being slack is,evaluative,1,5.7072225
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being scornful is,evaluative,-1.1,2.1941175
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being unpleasant is,evaluative,-1.9,2.3364427
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being personable is,evaluative,2.5,2.439733
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being brilliant is,evaluative,2,2.0464697
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",being innocent is,evaluative,1.2,2.319015
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a redneck is,potency,-2,2.5353982
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a shaman is,potency,0.9,2.6706202
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",an intruder is,potency,-1.2,2.6706843
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a chief is,potency,1,3.0176141
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a painter is,potency,2.5,2.2999334
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a pornstar is,potency,-0.9,2.4170253
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a daredevil is,potency,1.1,2.0840673
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a leftist is,potency,-1.2,2.6949193
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a Christian is,potency,0.9,5.3486743
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a genius is,potency,2.5,2.4872203
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a mathematician is,potency,2.1,2.1740558
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a hick is,potency,0.9,3.3955734
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",an actress is,potency,1.8,2.3127115
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",an addict is,potency,-1,2.3331192
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a colonel is,potency,1.6,2.1764383
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a heroine is,potency,2.2,4.9681897
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a pianist is,potency,1.8,2.1097152
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a savior is,potency,2.2,2.8774981
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",an employee is,potency,2.9,2.4350352
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a preteen is,potency,1,2.6224802
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a composer is,potency,2,2.6350613
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a bailiff is,potency,1.2,2.4481411
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a midwife is,potency,2,1.9731736
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a bellhop is,potency,2.1,2.6425049
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a blabbermouth is,potency,-1.4,2.6026518
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a psychiatrist is,potency,2.1,2.0008171
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a prince is,potency,2.2,1.7662666
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a therapist is,potency,3,1.9229796
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a star is,potency,2.1,1.7665234
A33VGSEJ44ORMF,"99.100.238.66, 172.16.2.220, 172.16.29.170",a junkie is,potency,-1.9,2.2132094
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a sergeant is,potency,2,8.8079348
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a delinquent is,potency,-3,7.8716812
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a reservist is,potency,-2,5.9089355
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a biker is,potency,0,5.1962633
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a killer is,potency,2,9.8404903
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a bailiff is,potency,-2,4.4458818
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a transsexual is,potency,-1,4.9479308
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a leftist is,potency,0,5.2312684
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a psychiatrist is,potency,2,3.9687796
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a shaman is,potency,1,7.125783
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a dancer is,potency,0,6.0314007
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a guitarist is,potency,0,4.5405173
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a colonel is,potency,3,22.336777
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a nazi is,potency,-4.3,3.8103707
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a vegetarian is,potency,0,6.237401
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a genius is,potency,2,17.422096
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a voyeur is,potency,-3,6.5458641
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a Jew is,potency,0,10.960294
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a customer is,potency,0,18.838022
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a diva is,potency,1,23.762444
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a mathematician is,potency,1,4.7424164
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a prosecutor is,potency,3,6.8448176
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a murderer is,potency,1,3.3075721
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a braggart is,potency,-2,4.1535187
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a vegan is,potency,0,3.2079644
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a singer is,potency,0,13.021955
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a chief is,potency,2,10.269065
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a fascist is,potency,-4.3,2.7972138
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a poet is,potency,-1,3.028301
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a painter is,potency,0,5.220902
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a cyclist is,evaluative,0,3.0055127
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a chemist is,evaluative,1,2.8356991
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a kindergartener is,evaluative,3,11.855861
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a reservist is,evaluative,0,8.2399492
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a dancer is,evaluative,0,5.1836729
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a hunter is,evaluative,-1,3.6413522
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a junkie is,evaluative,-4.3,2.07057
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a therapist is,evaluative,2,4.1721358
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a dad is,evaluative,1,3.9801905
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a monarch is,evaluative,-3,3.4665999
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a mathematician is,evaluative,2,5.0643225
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a dunce is,evaluative,-3,3.9436727
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a buffoon is,evaluative,-3,4.6811686
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a princess is,evaluative,0,5.9040408
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a sergeant is,evaluative,0,5.4461098
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a preteen is,evaluative,0,4.1880326
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a surfer is,evaluative,0,4.1667914
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a nut is,evaluative,-1,5.6898427
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a malingerer is,evaluative,-2,9.3102045
AVFHRN0S32V2H,"107.185.191.76, 172.16.2.220, 172.16.17.70",a gymnast is,evaluative,0,3.1813004
